,movieId,imdbId,tmdbId
0,1,tt0114709,862.0
1,2,tt0113497,8844.0
2,3,tt0113228,15602.0
3,4,tt0114885,31357.0
4,5,tt0113041,11862.0
5,6,tt0113277,949.0
6,7,tt0114319,11860.0
7,8,tt0112302,45325.0
8,9,tt0114576,9091.0
9,10,tt0113189,710.0
10,11,tt0112346,9087.0
11,12,tt0112896,12110.0
12,13,tt0112453,21032.0
13,14,tt0113987,10858.0
14,15,tt0112760,1408.0
15,16,tt0112641,524.0
16,17,tt0114388,4584.0
17,18,tt0113101,5.0
18,19,tt0112281,9273.0
19,20,tt0113845,11517.0
20,21,tt0113161,8012.0
21,22,tt0112722,1710.0
22,23,tt0112401,9691.0
23,24,tt0114168,12665.0
24,25,tt0113627,451.0
25,26,tt0114057,16420.0
26,27,tt0114011,9263.0
27,28,tt0114117,17015.0
28,29,tt0112682,902.0
29,30,tt0115012,37557.0
30,31,tt0112792,9909.0
31,32,tt0114746,63.0
32,34,tt0112431,9598.0
33,35,tt0112637,47018.0
34,36,tt0112818,687.0
35,37,tt0112286,139405.0
36,38,tt0113442,33689.0
37,39,tt0112697,9603.0
38,40,tt0112749,34615.0
39,41,tt0114279,31174.0
40,42,tt0112819,11443.0
41,43,tt0114272,35196.0
42,44,tt0113855,9312.0
43,45,tt0114681,577.0
44,46,tt0113347,11861.0
45,47,tt0114369,807.0
46,48,tt0114148,10530.0
47,49,tt0114916,8391.0
48,50,tt0114814,629.0
49,52,tt0113819,11448.0
50,53,tt0110299,49133.0
51,54,tt0112499,26441.0
52,55,tt0113158,97406.0
53,57,tt0113321,9089.0
54,58,tt0110877,11010.0
55,59,tt0112714,99040.0
56,60,tt0113419,11359.0
57,61,tt0116260,17182.0
58,62,tt0113862,2054.0
59,63,tt0116126,10607.0
60,64,tt0118002,19760.0
61,65,tt0115683,9536.0
62,66,tt0116839,11525.0
63,68,tt0113149,4482.0
64,69,tt0113118,10634.0
65,70,tt0116367,755.0
66,71,tt0113010,11859.0
67,72,tt0113537,28387.0
68,73,tt0113828,48750.0
69,74,tt0115644,20927.0
70,76,tt0114367,9102.0
71,77,tt0113973,124626.0
72,78,tt0112744,27526.0
73,79,tt0116731,9623.0
74,80,tt0112445,46785.0
75,81,tt0114660,400.0
76,82,tt0112379,880.0
77,83,tt0114039,146599.0
78,84,tt0113612,188588.0
79,85,tt0112365,8447.0
80,86,tt0118158,10534.0
81,87,tt0116151,17414.0
82,88,tt0115697,13997.0
83,89,tt0113972,2086.0
84,92,tt0117002,9095.0
85,93,tt0114825,12158.0
86,94,tt0115639,9283.0
87,95,tt0115759,9208.0
88,96,tt0113403,40154.0
89,97,tt0113247,406.0
90,98,tt0111173,45549.0
91,99,tt0113283,63076.0
92,100,tt0115907,11062.0
